English_Sector,Arabic_Sector,Date,Number of Transactions,Value of Transactions
Health,الصحة,2022-02-12,6591,701507.0
Furniture,الأثاث,2022-02-12,893,292978.0
Hotels,الفنادق,2022-02-12,464,168531.0
Public Utilities,المنافع العامة,2022-02-12,859,70986.0
Jewelry,المجوهرات,2022-02-12,181,197189.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2022-02-12,12981,960371.0
Recreation and Culture,الترفية والثقافة,2022-02-12,2137,272735.0
Restaurants & Café,المطاعم والمقاهي,2022-02-12,36407,1383662.0
Beverage and Food,الأطعمة والمشروبات,2022-02-12,29019,1433203.0
Telecommunication,الاتصالات,2022-02-12,400,84949.0
Transportation,المواصلات,2022-02-12,1594,513031.0
Other,أخرى,2022-02-12,14682,1304661.0
Total,الإجمالي,2022-02-12,122877,9326155.0
Clothing and Footwear,الملابس والأحذية,2021-01-16,3787,641940.0
Construction & Building Materials,مواد التشييد والبناء,2021-01-16,778,381044.0
Education,التعليم,2021-01-16,51,139958.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-01-16,645,270972.0
Gas,محطات الوقود,2021-01-16,7382,382409.0
Health,الصحة,2021-01-16,5281,622996.0
Furniture,الأثاث,2021-01-16,790,314654.0
Hotels,الفنادق,2021-01-16,572,233742.0
Public Utilities,المنافع العامة,2021-01-16,595,67353.0
Jewelry,المجوهرات,2021-01-16,187,239481.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-01-16,5086,650651.0
Recreation and Culture,الترفية والثقافة,2021-01-16,1425,292124.0
Restaurants & Café,المطاعم والمقاهي,2021-01-16,24008,1192864.0
Beverage and Food,الأطعمة والمشروبات,2021-01-16,20398,1207682.0
Telecommunication,الاتصالات,2021-01-16,287,68624.0
Transportation,المواصلات,2021-01-16,1069,428341.0
Other,أخرى,2021-01-16,8807,1049333.0
Total,الإجمالي,2021-01-16,81146,8184169.0
Construction & Building Materials,مواد التشييد والبناء,2020-09-12,670,334249.0
Education,التعليم,2020-09-12,72,216051.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-09-12,705,299991.0
Gas,محطات الوقود,2020-09-12,6134,299255.0
Health,الصحة,2020-09-12,4779,629756.0
Furniture,الأثاث,2020-09-12,647,280002.0
Hotels,الفنادق,2020-09-12,328,110850.0
Public Utilities,المنافع العامة,2020-09-12,649,76917.0
Jewelry,المجوهرات,2020-09-12,148,164928.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-09-12,2360,567763.0
Recreation and Culture,الترفية والثقافة,2020-09-12,1607,283817.0
Restaurants & Café,المطاعم والمقاهي,2020-09-12,19322,954998.0
Beverage and Food,الأطعمة والمشروبات,2020-09-12,18214,1174491.0
Telecommunication,الاتصالات,2020-09-12,285,71768.0
Transportation,المواصلات,2020-09-12,964,402379.0
Other,أخرى,2020-09-12,7717,986095.0
Total,الإجمالي,2020-09-12,67353,7331647.0
Clothing and Footwear,الملابس والأحذية,2021-05-01,8165,1623921.0
Construction & Building Materials,مواد التشييد والبناء,2021-05-01,860,326987.0
Education,التعليم,2021-05-01,52,113002.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-05-01,742,303341.0
Gas,محطات الوقود,2021-05-01,8281,492927.0
Health,الصحة,2021-05-01,5693,769406.0
Furniture,الأثاث,2021-05-01,1070,399960.0
Hotels,الفنادق,2021-05-01,374,158440.0
